year,age,reg,value
,,Тамбовская область,173.3
,,Тверская область,192.7
,,Тульская область,182.2
,,Ярославская область,188
,,Город Москва столица Российской Федерации город федерального значения,124.7
,,Республика Алтай,187.5
,,Республика Тыва,217.8
,,Республика Хакасия,183.5
,,Алтайский край,176.7
,,Красноярский край,182.5
,,Иркутская область,182.9
,,Кемеровская область - Кузбасс,179.3
,,Новосибирская область,179.9
,,Омская область,178
,,Томская область,174.1
,,Республика Бурятия,174
,,Забайкальский край,182.8
,,Республика Саха (Якутия),169.8
,,Камчатский край,185.3
,,Приморский край,190.6
,,Хабаровский край,193.8
,,Амурская область,188.3
,,Магаданская область,201.9
,,Сахалинская область,208.8
,,Еврейская автономная область,207.3
,,Чукотский автономный округ,363.6
,,Северо-Западный федеральный округ,164.7
,,Республика Карелия,190
,,Республика Коми,186.6
,,Архангельская область,184.6
,,Ненецкий автономный округ (Архангельская область),169.4
,,Архангельская область (кроме Ненецкого автономного округа),184.9
,,Вологодская область,186
,,Калининградская область,175
,,Ленинградская область,174.1
,,Мурманская область,173.8
,,Новгородская область,185.2
,,Псковская область,193.2
,,Город Санкт-Петербург город федерального значения,143.8
,,Южный федеральный округ (с 2010 года),173.6
,,Республика Адыгея (Адыгея),188.5
,,Республика Калмыкия,144.5
,,Краснодарский край,175.4
,,Астраханская область,150
,,Волгоградская область,167.5
,,Ростовская область,180.3
,,Северо-Кавказский федеральный округ,172.9
,,Республика Дагестан,172.3
,,Республика Ингушетия,113.9
,,Кабардино-Балкарская Республика,176.1
,,Карачаево-Черкесская Республика,173.5
,,Республика Северная Осетия-Алания,160.8
,,Чеченская Республика,210.8
,,Ставропольский край,174.2
,,Приволжский федеральный округ,176.4
,,Республика Башкортостан,171.3
,,Республика Марий Эл,189.2
,,Республика Мордовия,177.8
,,Республика Татарстан (Татарстан),166.8
,,Удмуртская Республика,177.2
,,Чувашская Республика - Чувашия,170.7
,,Пермский край,177.6
,,Кировская область,185.3
,,Нижегородская область,186.4
,,Оренбургская область,171
,,Пензенская область,170.7
,,Самарская область,175.2
,,Саратовская область,182.8
,,Ульяновская область,181
,,Уральский федеральный округ,178.6
,,Курганская область,183
,,Свердловская область,178.3
,,Тюменская область,175.6
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),173.6
,,Ямало-Ненецкий автономный округ (Тюменская область),173.1
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),176.3
,,Челябинская область,178.9
,,Сибирский федеральный округ,179.6
,,Дальневосточный федеральный округ,191.4
,Всего,Российская Федерация,13
,,Центральный федеральный округ,13.6
,,Белгородская область,13.8
,,Брянская область,15.9
,,Владимирская область,16.7
,,Воронежская область,15.5
,,Ивановская область,16.3
,,Калужская область,15.2
,,Костромская область,16.1
,,Курская область,16.1
,,Липецкая область,15.2
,,Московская область,13.9
,,Орловская область,16.2
,,Рязанская область,15.8
,,Смоленская область,16.4
,,Тамбовская область,16.1
,,Тверская область,18
,,Тульская область,17.4
,,Ярославская область,15.8
,,Город Москва столица Российской Федерации город федерального значения,9.6
,,Республика Алтай,11.3
,,Республика Тыва,10.9
,,Республика Хакасия,13.1
,,Алтайский край,14.2
,,Красноярский край,12.7
,,Иркутская область,13.6
,,Кемеровская область - Кузбасс,14.5
,,Новосибирская область,13.4
,,Омская область,13.4
,,Томская область,11.7
,,Республика Бурятия,11.8
,,Забайкальский край,12.5
,,Республика Саха (Якутия),8.7
,,Камчатский край,11.4
,,Приморский край,13.5
,,Хабаровский край,13.3
,,Амурская область,13.9
,,Магаданская область,11.9
,,Сахалинская область,13.1
,,Еврейская автономная область,14.6
,,Чукотский автономный округ,10.5
,,Северо-Западный федеральный округ,13.4
,,Республика Карелия,14.6
,,Республика Коми,12
,,Архангельская область,13.3
,,Ненецкий автономный округ (Архангельская область),10.7
,,Архангельская область (кроме Ненецкого автономного округа),13.4
,,Вологодская область,15
,,Калининградская область,13.1
,,Ленинградская область,14.4
,,Мурманская область,11
,,Новгородская область,17.8
,,Псковская область,18.6
,,Город Санкт-Петербург город федерального значения,11.9
,,Южный федеральный округ (с 2010 года),13.1
,,Республика Адыгея (Адыгея),13.1
,,Республика Калмыкия,9.9
,,Краснодарский край,12.8
,,Астраханская область,12.2
,,Волгоградская область,13.5
,,Ростовская область,13.8
,,Северо-Кавказский федеральный округ,8
,,Республика Дагестан,5.5
,,Республика Ингушетия,3.5
,,Кабардино-Балкарская Республика,9
,,Карачаево-Черкесская Республика,9.5
,,Республика Северная Осетия-Алания,10.5
,,Чеченская Республика,4.9
,,Ставропольский край,11.7
,,Приволжский федеральный округ,13.9
,,Республика Башкортостан,13.1
,,Республика Марий Эл,13.7
,,Республика Мордовия,14.8
,,Республика Татарстан (Татарстан),12.1
,,Удмуртская Республика,12.7
,,Чувашская Республика - Чувашия,13.1
,,Пермский край,14
,,Кировская область,15.4
,,Нижегородская область,15.9
,,Оренбургская область,13.9
,,Пензенская область,14.7
,,Самарская область,14.3
,,Саратовская область,14.4
,,Ульяновская область,14.4
,,Уральский федеральный округ,12.3
,,Курганская область,16.1
,,Свердловская область,13.7
,,Тюменская область,8.2
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),6.3
,,Ямало-Ненецкий автономный округ (Тюменская область),5.1
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),11.5
,,Челябинская область,13.9
,,Сибирский федеральный округ,13.3
,,Дальневосточный федеральный округ,12.6
,от 1 до 4 лет,Российская Федерация,0.4
,,Центральный федеральный округ,0.4
,,Белгородская область,0.3
,,Брянская область,0.3
,,Владимирская область,0.4
,,Воронежская область,0.4
,,Ивановская область,0.4
,,Калужская область,0.4
,,Костромская область,0.4
,,Курская область,0.2
,,Липецкая область,0.3
,,Московская область,0.3
,,Орловская область,0.3
,,Рязанская область,0.5
,,Смоленская область,0.4
,,Тамбовская область,0.3
,,Тверская область,0.4
,,Тульская область,0.5
,,Ярославская область,0.3
,,Город Москва столица Российской Федерации город федерального значения,0.4
,,Республика Алтай,0.9
,,Республика Тыва,1.1
,,Республика Хакасия,0.7
,,Алтайский край,0.4
,,Красноярский край,0.6
,,Иркутская область,0.6
,,Кемеровская область - Кузбасс,0.5
,,Новосибирская область,0.4
,,Омская область,0.5
,,Томская область,0.3
,,Республика Бурятия,0.7
,,Забайкальский край,0.6
,,Республика Саха (Якутия),0.5
,,Камчатский край,0.2
,,Приморский край,0.5
,,Хабаровский край,0.3
,,Амурская область,0.7
,,Магаданская область,0.3
,,Сахалинская область,0.5
,,Еврейская автономная область,0.2
,,Чукотский автономный округ,1.1
,,Северо-Западный федеральный округ,0.3
,,Республика Карелия,0.4
,,Республика Коми,0.3
,,Архангельская область,0.4
,,Ненецкий автономный округ (Архангельская область),0.4
,,Архангельская область (кроме Ненецкого автономного округа),0.4
,,Вологодская область,0.5
,,Калининградская область,0.2
,,Ленинградская область,0.2
,,Мурманская область,0.2
,,Новгородская область,0.4
,,Псковская область,0.6
,,Город Санкт-Петербург город федерального значения,0.3
,,Южный федеральный округ (с 2010 года),0.4
,,Республика Адыгея (Адыгея),0.7
,,Республика Калмыкия,0.5
,,Краснодарский край,0.4
,,Астраханская область,0.3
,,Волгоградская область,0.5
,,Ростовская область,0.4
,,Северо-Кавказский федеральный округ,0.7
,,Республика Дагестан,1
,,Республика Ингушетия,0.8
,,Кабардино-Балкарская Республика,0.4
,,Карачаево-Черкесская Республика,0.6
,,Республика Северная Осетия-Алания,0.1
,,Чеченская Республика,0.7
,,Ставропольский край,0.5
,,Приволжский федеральный округ,0.4
,,Республика Башкортостан,0.4
,,Республика Марий Эл,0.4
,,Республика Мордовия,0.3
,,Республика Татарстан (Татарстан),0.3
,,Удмуртская Республика,0.3
,,Чувашская Республика - Чувашия,0.4
,,Пермский край,0.5
,,Кировская область,0.3
,,Нижегородская область,0.4
,,Оренбургская область,0.5
,,Пензенская область,0.3
,,Самарская область,0.4
,,Саратовская область,0.4
,,Ульяновская область,0.5
,,Уральский федеральный округ,0.5
,,Курганская область,0.5
,,Свердловская область,0.5
,,Тюменская область,0.5
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),0.4
,,Ямало-Ненецкий автономный округ (Тюменская область),0.4
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.5
,,Челябинская область,0.4
,,Сибирский федеральный округ,0.6
,,Дальневосточный федеральный округ,0.5
2014,0,Российская Федерация,7.4
,,Центральный федеральный округ,6.5
,,Белгородская область,5.8
,,Брянская область,9.2
,,Владимирская область,7
,,Воронежская область,5.7
,,Ивановская область,5.9
,,Калужская область,7.3
,,Костромская область,9
,,Курская область,6.3
,,Липецкая область,7.8
,,Московская область,6.7
,,Орловская область,7.8
,,Рязанская область,6.1
,,Смоленская область,6.6
,,Тамбовская область,4.4
,,Тверская область,6.7
,,Тульская область,6.9
,,Ярославская область,5.8
,,Город Москва столица Российской Федерации город федерального значения,6.1
,,Республика Алтай,9.5
,,Республика Тыва,15.5
,,Республика Хакасия,8.4
,,Алтайский край,8.7
,,Красноярский край,8.3
,,Иркутская область,8.8
,,Кемеровская область - Кузбасс,7.2
,,Новосибирская область,6.8
,,Омская область,7.5
,,Томская область,4.7
,,Республика Бурятия,6.4
,,Забайкальский край,7.3
,,Республика Саха (Якутия),8
,,Камчатский край,9.8
,,Приморский край,9.2
,,Хабаровский край,9.6
,,Амурская область,9.1
,,Магаданская область,6
,,Сахалинская область,6.2
,,Еврейская автономная область,14.9
,,Чукотский автономный округ,22.9
,,Северо-Западный федеральный округ,5.8
,,Республика Карелия,6.7
,,Республика Коми,5.1
,,Архангельская область,6.7
,,Ненецкий автономный округ (Архангельская область),5.5
,,Архангельская область (кроме Ненецкого автономного округа),6.8
,,Вологодская область,7.6
,,Калининградская область,7.9
,,Ленинградская область,6.5
,,Мурманская область,6.4
,,Новгородская область,7.1
,,Псковская область,6.4
,,Город Санкт-Петербург город федерального значения,4.3
,,Южный федеральный округ (с 2010 года),7.2
,,Республика Адыгея (Адыгея),8.5
,,Республика Калмыкия,9.4
,,Республика Крым,6.3
,,Краснодарский край,5.5
,,Астраханская область,9.8
,,Волгоградская область,7.9
,,Ростовская область,7.9
,,Город федерального значения Севастополь,5.7
,,Северо-Кавказский федеральный округ,11.8
,,Республика Дагестан,12.3
,,Республика Ингушетия,14.2
,,Кабардино-Балкарская Республика,6.7
,,Карачаево-Черкесская Республика,8.5
,,Республика Северная Осетия-Алания,10.8
,,Чеченская Республика,15
,,Ставропольский край,10.4
,,Приволжский федеральный округ,7.1
,,Республика Башкортостан,7.6
,,Республика Марий Эл,8.2
,,Республика Мордовия,5.9
,,Республика Татарстан (Татарстан),6.5
,,Удмуртская Республика,8.3
,,Чувашская Республика - Чувашия,4.4
,,Пермский край,7.6
,,Кировская область,4.3
,,Нижегородская область,7.7
,,Оренбургская область,9.7
,,Пензенская область,5.5
,,Самарская область,6.4
,,Саратовская область,7.2
,,Ульяновская область,8
,,Уральский федеральный округ,6.4
,,Курганская область,8.8
,,Свердловская область,6.2
,,Тюменская область,5.5
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),4.4
,,Ямало-Ненецкий автономный округ (Тюменская область),8.3
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),5.8
,,Челябинская область,6.9
,,Сибирский федеральный округ,7.8
,,Дальневосточный федеральный округ,9
,,Крымский федеральный округ,6.2
,10-14 лет,Российская Федерация,0.3
,,Центральный федеральный округ,0.3
,,Белгородская область,0.4
,,Брянская область,0.2
,,Владимирская область,0.3
,,Воронежская область,0.3
,,Ивановская область,0.2
,,Калужская область,0.4
,,Костромская область,0.3
,,Курская область,0.2
,,Липецкая область,0.3
,,Московская область,0.3
,,Орловская область,0.1
,,Рязанская область,0.3
,,Смоленская область,0.2
,,Тамбовская область,0.3
,,Тверская область,0.4
,,Тульская область,0.3
,,Ярославская область,0.3
,,Город Москва столица Российской Федерации город федерального значения,0.2
,,Республика Алтай,0.9
,,Республика Тыва,0.7
,,Республика Хакасия,0.4
,,Алтайский край,0.3
,,Красноярский край,0.4
,,Иркутская область,0.3
,,Кемеровская область - Кузбасс,0.3
,,Новосибирская область,0.4
,,Омская область,0.3
,,Томская область,0.3
,,Республика Бурятия,0.5
,,Забайкальский край,0.4
,,Республика Саха (Якутия),0.4
,,Камчатский край,0.4
,,Приморский край,0.5
,,Хабаровский край,0.3
,,Амурская область,0.3
,,Магаданская область,0.3
,,Сахалинская область,0.6
,,Еврейская автономная область,0.4
,,Чукотский автономный округ,0.6
,,Северо-Западный федеральный округ,0.3
,,Республика Карелия,0.2
,,Республика Коми,0.4
,,Архангельская область,0.4
,,Ненецкий автономный округ (Архангельская область),0
,,Архангельская область (кроме Ненецкого автономного округа),0.4
,,Вологодская область,0.3
,,Калининградская область,0.2
,,Ленинградская область,0.2
,,Мурманская область,0.4
,,Новгородская область,0.3
,,Псковская область,0.3
,,Город Санкт-Петербург город федерального значения,0.2
,,Южный федеральный округ (с 2010 года),0.3
,,Республика Адыгея (Адыгея),0.4
,,Республика Калмыкия,0.3
,,Республика Крым,0.3
,,Краснодарский край,0.3
,,Астраханская область,0.3
,,Волгоградская область,0.3
,,Ростовская область,0.3
,,Город федерального значения Севастополь,0.1
,,Северо-Кавказский федеральный округ,0.3
,,Республика Дагестан,0.3
,,Республика Ингушетия,0.2
,,Кабардино-Балкарская Республика,0.3
,,Карачаево-Черкесская Республика,0.3
,,Республика Северная Осетия-Алания,0.1
,,Чеченская Республика,0.3
,,Ставропольский край,0.3
,,Приволжский федеральный округ,0.3
,,Республика Башкортостан,0.2
,,Республика Марий Эл,0.2
,,Республика Мордовия,0.3
,,Республика Татарстан (Татарстан),0.2
,,Удмуртская Республика,0.3
,,Чувашская Республика - Чувашия,0.2
,,Пермский край,0.3
,,Кировская область,0.4
,,Нижегородская область,0.2
,,Оренбургская область,0.3
,,Пензенская область,0.4
,,Самарская область,0.3
,,Саратовская область,0.3
,,Ульяновская область,0.2
,,Уральский федеральный округ,0.3
,,Курганская область,0.2
,,Свердловская область,0.3
,,Тюменская область,0.3
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),0.3
,,Ямало-Ненецкий автономный округ (Тюменская область),0.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.2
,,Челябинская область,0.3
,,Сибирский федеральный округ,0.4
,,Дальневосточный федеральный округ,0.4
,,Крымский федеральный округ,0.3
,15-19 лет,Российская Федерация,0.8
,,Центральный федеральный округ,0.7
,,Белгородская область,0.7
,,Брянская область,0.8
,,Владимирская область,0.9
,,Воронежская область,0.7
,,Ивановская область,0.7
,,Калужская область,1
,,Костромская область,0.7
,,Курская область,0.7
,,Липецкая область,0.8
,,Московская область,0.8
,,Орловская область,1
,,Рязанская область,0.9
,,Смоленская область,0.9
,,Тамбовская область,0.7
,,Тверская область,1
,,Тульская область,0.9
,,Ярославская область,0.6
,,Город Москва столица Российской Федерации город федерального значения,0.6
,,Республика Алтай,1.9
,,Республика Тыва,1.9
,,Республика Хакасия,1.1
,,Алтайский край,0.7
,,Красноярский край,0.8
,,Иркутская область,1.1
,,Кемеровская область - Кузбасс,1
,,Новосибирская область,0.8
,,Омская область,0.9
,,Томская область,0.9
,,Республика Бурятия,1.5
,,Забайкальский край,1.5
,,Республика Саха (Якутия),1.2
,,Камчатский край,1.1
,,Приморский край,0.9
,,Хабаровский край,1.2
,,Амурская область,1.4
,,Магаданская область,1.3
,,Сахалинская область,0.9
,,Еврейская автономная область,0.7
,,Чукотский автономный округ,0.7
,,Северо-Западный федеральный округ,0.7
,,Республика Карелия,0.7
,,Республика Коми,0.8
,,Архангельская область,0.9
,,Ненецкий автономный округ (Архангельская область),0.8
,,Архангельская область (кроме Ненецкого автономного округа),0.9
,,Вологодская область,0.8
,,Калининградская область,0.9
,,Ленинградская область,0.8
,,Мурманская область,0.7
,,Новгородская область,0.8
,,Псковская область,0.8
,,Город Санкт-Петербург город федерального значения,0.4
,,Южный федеральный округ (с 2010 года),0.7
,,Республика Адыгея (Адыгея),0.5
,,Республика Калмыкия,0.7
,,Республика Крым,0.7
,,Краснодарский край,0.9
,,Астраханская область,0.7
,,Волгоградская область,0.7
,,Ростовская область,0.7
,,Город федерального значения Севастополь,0.4
,,Северо-Кавказский федеральный округ,0.5
,,Республика Дагестан,0.4
,,Республика Ингушетия,0.3
,,Кабардино-Балкарская Республика,0.7
,,Карачаево-Черкесская Республика,0.8
,,Республика Северная Осетия-Алания,0.6
,,Чеченская Республика,0.4
,,Ставропольский край,0.6
,,Приволжский федеральный округ,0.8
,,Республика Башкортостан,0.8
,,Республика Марий Эл,0.9
,,Республика Мордовия,0.6
,,Республика Татарстан (Татарстан),0.8
,,Удмуртская Республика,0.9
,,Чувашская Республика - Чувашия,0.9
,,Пермский край,1
,,Кировская область,0.9
,,Нижегородская область,0.8
,,Оренбургская область,1
,,Пензенская область,0.6
,,Самарская область,0.8
,,Саратовская область,0.6
,,Ульяновская область,0.6
,,Уральский федеральный округ,0.8
,,Курганская область,1.3
,,Свердловская область,0.9
,,Тюменская область,0.7
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),0.7
,,Ямало-Ненецкий автономный округ (Тюменская область),0.9
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.7
,,Челябинская область,0.8
,,Сибирский федеральный округ,1
,,Дальневосточный федеральный округ,1.1
,,Крымский федеральный округ,0.6
,20-24,Российская Федерация,1.4
,,Центральный федеральный округ,1.3
,,Белгородская область,1
,,Брянская область,1.6
,,Владимирская область,1.6
,,Воронежская область,1.4
,,Ивановская область,1.2
,,Калужская область,1.8
,,Костромская область,1.1
,,Курская область,1.7
,,Липецкая область,1.8
,,Московская область,1.5
,,Орловская область,2
,,Рязанская область,1.6
,,Смоленская область,1.5
,,Тамбовская область,1.2
,,Тверская область,1.8
,,Тульская область,1.6
,,Ярославская область,1.4
,,Город Москва столица Российской Федерации город федерального значения,1
,,Республика Алтай,2.7
,,Республика Тыва,6.1
,,Республика Хакасия,2.1
,,Алтайский край,1.3
,,Красноярский край,1.6
,,Иркутская область,2.4
,,Кемеровская область - Кузбасс,2.3
,,Новосибирская область,1.6
,,Омская область,1.5
,,Томская область,1.3
,,Республика Бурятия,2.2
,,Забайкальский край,2.5
,,Республика Саха (Якутия),1.8
,,Камчатский край,2.2
,,Приморский край,1.7
,,Хабаровский край,1.5
,,Амурская область,2
,,Магаданская область,2.8
,,Сахалинская область,2.1
,,Еврейская автономная область,1.5
,,Чукотский автономный округ,6.1
,,Северо-Западный федеральный округ,1.2
,,Республика Карелия,1.6
,,Республика Коми,1.7
,,Архангельская область,2
,,Ненецкий автономный округ (Архангельская область),3.4
,,Архангельская область (кроме Ненецкого автономного округа),2
,,Вологодская область,1.8
,,Калининградская область,1.4
,,Ленинградская область,1.4
,,Мурманская область,1.1
,,Новгородская область,1.5
,,Псковская область,1.8
,,Город Санкт-Петербург город федерального значения,0.8
,,Южный федеральный округ (с 2010 года),1.2
,,Республика Адыгея (Адыгея),1.1
,,Республика Калмыкия,1.5
,,Республика Крым,1.1
,,Краснодарский край,1.3
,,Астраханская область,1.4
,,Волгоградская область,1.2
,,Ростовская область,1.2
,,Город федерального значения Севастополь,0.6
,,Северо-Кавказский федеральный округ,0.8
,,Республика Дагестан,0.7
,,Республика Ингушетия,0.8
,,Кабардино-Балкарская Республика,1
,,Карачаево-Черкесская Республика,1.7
,,Республика Северная Осетия-Алания,1
,,Чеченская Республика,0.7
,,Ставропольский край,0.8
,,Приволжский федеральный округ,1.5
,,Республика Башкортостан,1.7
,,Республика Марий Эл,1.8
,,Республика Мордовия,1.4
,,Республика Татарстан (Татарстан),1.2
,,Удмуртская Республика,1.7
,,Чувашская Республика - Чувашия,1.5
,,Пермский край,1.6
,,Кировская область,1.4
,,Нижегородская область,1.5
,,Оренбургская область,1.8
,,Пензенская область,1.3
,,Самарская область,1.4
,,Саратовская область,1.2
,,Ульяновская область,1.5
,,Уральский федеральный округ,1.8
,,Курганская область,2.3
,,Свердловская область,1.8
,,Тюменская область,1.8
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),1.7
,,Ямало-Ненецкий автономный округ (Тюменская область),2.9
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),1.6
,,Челябинская область,1.8
,,Сибирский федеральный округ,1.9
,,Дальневосточный федеральный округ,1.8
,,Крымский федеральный округ,1
,25-29 лет,Российская Федерация,2.3
,,Центральный федеральный округ,2.1
,,Белгородская область,1.6
,,Брянская область,2.7
,,Владимирская область,2.8
,,Воронежская область,2.6
,,Ивановская область,2.4
,,Калужская область,2.4
,,Костромская область,2.4
,,Курская область,2.7
,,Липецкая область,2.3
,,Московская область,2.2
,,Орловская область,2.5
,,Рязанская область,2.6
,,Смоленская область,2.6
,,Тамбовская область,2.1
,,Тверская область,3
,,Тульская область,3.2
,,Ярославская область,2.4
,,Город Москва столица Российской Федерации город федерального значения,1.4
,,Республика Алтай,3.3
,,Республика Тыва,5.7
,,Республика Хакасия,2.5
,,Алтайский край,2.6
,,Красноярский край,2.9
,,Иркутская область,4.1
,,Кемеровская область - Кузбасс,4
,,Новосибирская область,2.8
,,Омская область,2.5
,,Томская область,2.2
,,Республика Бурятия,2.8
,,Забайкальский край,3.6
,,Республика Саха (Якутия),2.7
,,Камчатский край,3
,,Приморский край,2.9
,,Хабаровский край,2.9
,,Амурская область,3.2
,,Магаданская область,3
,,Сахалинская область,3
,,Еврейская автономная область,3.5
,,Чукотский автономный округ,6.7
,,Северо-Западный федеральный округ,2.1
,,Республика Карелия,2.7
,,Республика Коми,2.7
,,Архангельская область,2.4
,,Ненецкий автономный округ (Архангельская область),3.8
,,Архангельская область (кроме Ненецкого автономного округа),2.3
,,Вологодская область,2.1
,,Калининградская область,2.1
,,Ленинградская область,2.6
,,Мурманская область,2.6
,,Новгородская область,3.2
,,Псковская область,3.4
,,Город Санкт-Петербург город федерального значения,1.4
,,Южный федеральный округ (с 2010 года),1.8
,,Республика Адыгея (Адыгея),1.7
,,Республика Калмыкия,1.8
,,Республика Крым,1.9
,,Краснодарский край,1.7
,,Астраханская область,2
,,Волгоградская область,1.9
,,Ростовская область,1.9
,,Город федерального значения Севастополь,1.5
,,Северо-Кавказский федеральный округ,1.2
,,Республика Дагестан,0.9
,,Республика Ингушетия,0.7
,,Кабардино-Балкарская Республика,1.5
,,Карачаево-Черкесская Республика,1.7
,,Республика Северная Осетия-Алания,1.4
,,Чеченская Республика,0.9
,,Ставропольский край,1.4
,,Приволжский федеральный округ,2.4
,,Республика Башкортостан,2.7
,,Республика Марий Эл,2.5
,,Республика Мордовия,1.8
,,Республика Татарстан (Татарстан),1.5
,,Удмуртская Республика,2.1
,,Чувашская Республика - Чувашия,2.5
,,Пермский край,2.9
,,Кировская область,2.3
,,Нижегородская область,2.5
,,Оренбургская область,3.1
,,Пензенская область,2.3
,,Самарская область,3.1
,,Саратовская область,2
,,Ульяновская область,2.5
,,Уральский федеральный округ,2.8
,,Курганская область,3.6
,,Свердловская область,3
,,Тюменская область,2.3
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),2.1
,,Ямало-Ненецкий автономный округ (Тюменская область),2.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2.5
,,Челябинская область,2.9
,,Сибирский федеральный округ,3.2
,,Дальневосточный федеральный округ,3
,,Крымский федеральный округ,1.8
,30-34 лет,Российская Федерация,3.7
,,Центральный федеральный округ,3.4
,,Белгородская область,2.7
,,Брянская область,4.2
,,Владимирская область,4.3
,,Воронежская область,4.1
,,Ивановская область,4.2
,,Калужская область,3.9
,,Костромская область,3.7
,,Курская область,3.2
,,Липецкая область,3.5
,,Московская область,3.9
,,Орловская область,3.5
,,Рязанская область,3.3
,,Смоленская область,4.2
,,Тамбовская область,3.2
,,Тверская область,4.9
,,Тульская область,4.6
,,Ярославская область,3.7
,,Город Москва столица Российской Федерации город федерального значения,2.5
,,Республика Алтай,4.7
,,Республика Тыва,7.1
,,Республика Хакасия,3.7
,,Алтайский край,4.1
,,Красноярский край,4.5
,,Иркутская область,6.9
,,Кемеровская область - Кузбасс,6.4
,,Новосибирская область,4.3
,,Омская область,3.9
,,Томская область,4.1
,,Республика Бурятия,3.9
,,Забайкальский край,4.6
,,Республика Саха (Якутия),3.9
,,Камчатский край,3.3
,,Приморский край,4.6
,,Хабаровский край,4.3
,,Амурская область,4.9
,,Магаданская область,4.5
,,Сахалинская область,4.4
,,Еврейская автономная область,6.3
,,Чукотский автономный округ,5.9
,,Северо-Западный федеральный округ,3.5
,,Республика Карелия,4.2
,,Республика Коми,4
,,Архангельская область,3.5
,,Ненецкий автономный округ (Архангельская область),2.1
,,Архангельская область (кроме Ненецкого автономного округа),3.6
,,Вологодская область,3.4
,,Калининградская область,3.5
,,Ленинградская область,4.7
,,Мурманская область,4
,,Новгородская область,4.7
,,Псковская область,4.6
,,Город Санкт-Петербург город федерального значения,2.7
,,Южный федеральный округ (с 2010 года),2.9
,,Республика Адыгея (Адыгея),2.7
,,Республика Калмыкия,2.5
,,Республика Крым,3.1
,,Краснодарский край,2.5
,,Астраханская область,3.2
,,Волгоградская область,3.5
,,Ростовская область,3
,,Город федерального значения Севастополь,3.1
,,Северо-Кавказский федеральный округ,1.6
,,Республика Дагестан,1.1
,,Республика Ингушетия,1
,,Кабардино-Балкарская Республика,2.1
,,Карачаево-Черкесская Республика,1.8
,,Республика Северная Осетия-Алания,2.2
,,Чеченская Республика,1.3
,,Ставропольский край,2.1
,,Приволжский федеральный округ,4.2
,,Республика Башкортостан,4.7
,,Республика Марий Эл,3.8
,,Республика Мордовия,3
,,Республика Татарстан (Татарстан),3
,,Удмуртская Республика,3.9
,,Чувашская Республика - Чувашия,3.6
,,Пермский край,4.9
,,Кировская область,3
,,Нижегородская область,4.2
,,Оренбургская область,5.3
,,Пензенская область,3.2
,,Самарская область,5.8
,,Саратовская область,3.6
,,Ульяновская область,5.2
,,Уральский федеральный округ,4.5
